Sample_ID,Genome,Study,Country,Region,Year,Accession,Database,Continent,updated_arc,updated_Subtype
IT4-020027600,IT4,n/a,SE_Asia,n/a,1981,GCA_900632055.1,PlasmoDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb4,DBLa2-CIDRa1.1 head structure with DBLg6
IT4-070017000,IT4,n/a,SE_Asia,n/a,1981,GCA_900632055.1,PlasmoDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
KH02-030005900,KH02,Otto_et_al_2018,Cambodia,Western region,2017,GCA_900632015.1,PlasmoDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg4
PA0007-C.g26,PA0007-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018933,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0008-C.g987,PA0008-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018936,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0012-C.g128,PA0012-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR021977,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0013-C.g207,PA0013-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR211480,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg4,DBLa2-CIDRa1.1 head structure with DBLg6
PA0014-C.g292,PA0014-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR216473,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PA0014-C.g365,PA0014-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR216473,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PA0014-C.g386,PA0014-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR216473,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLe14-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PA0020-C.g182,PA0020-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015390,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0021-C.g246,PA0021-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015365,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0021-C.g284,PA0021-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015365,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0027-C.g262,PA0027-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015403,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11,DBLa1.2-CIDRa1.1 head structure with DBLg6
PA0027-C.g797,PA0027-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015403,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0029-C.g308,PA0029-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015381,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLg14-DBLz5-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg4
PA0034-C.g137,PA0034-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR021975,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg4
PA0036-C.g203,PA0036-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015398,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0038-C.g200,PA0038-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018944,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz2-DBLe11-DBLe3,DBLa2-CIDRa1.8 head structure with DBLg4
PA0040-C.g119,PA0040-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018934,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0042-C.g203,PA0042-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020109,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0044-C.g382,PA0044-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018946,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PA0047-C.g208,PA0047-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023680,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0049-C.g108,PA0049-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018929,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PA0052-C.g144,PA0052-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018928,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0053-C.g368,PA0053-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019540,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg4
PA0059-C.g25,PA0059-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023475,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0061-C.g254,PA0061-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018960,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0061-C.g693,PA0061-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018960,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0072-C.g88,PA0072-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR211518,megaDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRg1,DBLa2-CIDRa1.8 head structure with DBLg4
PA0074-C.g180,PA0074-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018927,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0085-C.g85,PA0085-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018962,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0089-C.g427,PA0089-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023476,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PA0095-C.g1391,PA0095-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR199980,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0101-C.g101,PA0101-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019548,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0134-C.g387,PA0134-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063600,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0137-C.g151,PA0137-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055487,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0137-C.g248,PA0137-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055487,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz2-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg4
PA0140-C.g72,PA0140-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055468,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0144-C.g80,PA0144-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063550,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg10-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PA0149-C.g604,PA0149-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055497,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0152-C.g150,PA0152-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055493,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0152-C.g322,PA0152-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055493,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0153-C.g136,PA0153-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063614,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0169-C.g172,PA0169-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063549,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0177-C.g838,PA0177-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059384,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0179-C.g800,PA0179-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059388,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg4
PA0182-C.g62,PA0182-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055503,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLg17-DBLz5-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg6
PA0184-C.g221,PA0184-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055488,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0184-C.g300,PA0184-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055488,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0188-C.g904,PA0188-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063538,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0189-C.g193,PA0189-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059411,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0191-C.g1103,PA0191-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059408,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0193-C.g219,PA0193-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063611,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0197-C.g316,PA0197-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063541,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0197-C.g380,PA0197-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063541,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PA0202-C.g142,PA0202-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063613,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0202-C.g365,PA0202-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063613,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0205-C.g310,PA0205-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059404,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0206-C.g448,PA0206-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063612,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz2-DBLe14,DBLa2-CIDRa1.1 head structure with DBLg4
PA0210-C.g1033,PA0210-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059410,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0213-C.g362,PA0213-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059390,varDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg9-DBLd1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PA0216-C.g1021,PA0216-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059401,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0218-C.g451,PA0218-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063536,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0220-C.g303,PA0220-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055477,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0227-C.g647,PA0227-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063615,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0227-C.g823,PA0227-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063615,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0228-C.g1198,PA0228-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055475,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0229-C.g279,PA0229-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059392,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0234-C.g1331,PA0234-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059405,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PA0245-C.g300,PA0245-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063595,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0245-C.g434,PA0245-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063595,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0253-C.g314,PA0253-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063523,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg9,DBLa2-CIDRa1.1 head structure with DBLg4
PA0254-C.g320,PA0254-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063534,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0254-C.g336,PA0254-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063534,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PA0256-C.g384,PA0256-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059381,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz1-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PA0256-C.g410,PA0256-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059381,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PA0260-C.g303,PA0260-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063552,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PA0267-C.g346,PA0267-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055491,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PA0270-C.g383,PA0270-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063553,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.8 head structure with DBLg4
PA0298-C.g7326,PA0298-C,1026-PF-GN-CONWAY,Guinea,Faranah,2011,ERR403206,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PA0300-C.g4579,PA0300-C,1026-PF-GN-CONWAY,Guinea,Faranah,2011,ERR403207,megaDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg1,DBLa2-CIDRa1.1 head structure with DBLg4
PC0047-C.g70,PC0047-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012481,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PC0051-C.g137,PC0051-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012456,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PC0058-C.g73,PC0058-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012232,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PC0061-C.g241,PC0061-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029087,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PC0063-C.g3943,PC0063-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012478,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg4
PC0071-C.g80,PC0071-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR205935,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PC0079-C.g116,PC0079-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR029104,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLg14-DBLz5-DBLe4,DBLa2-CIDRa1.1 head structure with DBLg4
PC0083-C.g253,PC0083-C,1015-PF-KE-NZILA,n/a,n/a,,ERR029416,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PC0104-C.g243,PC0104-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205951,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd4-CIDRg1-DBLz6-DBLe9,DBLa2-CIDRa1.1 head structure with DBLg4
PC0107-C.g360,PC0107-C,1027-PF-KE-BULL,Kenya,Kilifi,2007,ERR205952,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PD0022-C.g247,PD0022-C,1016-PF-TH-NOSTEN,Thailand,Tak,2005,ERR211528,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.1 head structure with DBLg4
PD0462-C.g322,PD0462-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164726,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz1-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg4
PD0464-C.g392,PD0464-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164739,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PD0468-C.g496,PD0468-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR205973,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PD0470-C.g306,PD0470-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164729,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PD0471-C.g328,PD0471-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164730,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PD0475-C.g296,PD0475-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164734,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg4
PD0476-C.g1398,PD0476-C,1052-PF-TRAC-WHITE,Thailand,Tak,2011,ERR164740,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PD0483-C.g386,PD0483-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164717,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg4
PD0487-C.g368,PD0487-C,1052-PF-TRAC-WHITE,Thailand,Tak,2012,ERR164699,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
